{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.63, 'ROAM': 'FALSE', 'RSSI': '-59', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:45'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 58.53, 'ROAM': 'FALSE', 'RSSI': '-59', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:46'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.64, 'ROAM': 'FALSE', 'RSSI': '-59', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:47'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.37, 'ROAM': 'FALSE', 'RSSI': '-59', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:48'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.46, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:49'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.92, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:50'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.58, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:52'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.54, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:53'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.71, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:54'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.95, 'ROAM': 'FALSE', 'RSSI': '-58', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:55'}
